year,rec,catch,tb,sb,sbf0,dep,f
1952,2082001558,26715.65,11230672.5,6992840,7000337.5,0.998928980209883,0.0023787
1953,781125746.6,35617.11,11052990,7027345,7056440,0.99587681607156,0.0032227
1954,3598862002.4,35814.25,11005445,7008895,7060765,0.9926537705192,0.0032586
1955,2181867990,33139.11,11449435,6782940,6850827.5,0.990090613141259,0.002901
1956,2071965955.2,32911.55,11807252.5,7022010,7097665,0.989340860691509,0.0027928
1957,2658625135,53978.04,11851622.5,7365682.5,7451572.5,0.988473573866456,0.0045507
1958,1736983859.6,61997.8,12061360,7478325,7589642.5,0.985332971875816,0.0051358
1959,1070755375.57,64316,11795970,7421050,7552837.5,0.982551259708686,0.0054476
1960,1481942167.7,73148,10645397.5,7532652.5,7682827.5,0.980453159985695,0.006839
1961,1660886048.74,78730.7,9763390,6926865,7090255,0.976955694823388,0.008073
1962,1749216323,82356.9,9261752.5,6020562.5,6199250,0.971175948703472,0.00889
1963,2645079503.7,69784.8,9035565,5689717.5,5870010,0.969285827451742,0.007717
1964,954177140.3,62888.3,9323725,5566695,5749742.5,0.968164226484925,0.006744
1965,1480146874.13,63339.9,8982420,5660337.5,5838145,0.969543836269911,0.007054
1966,1197382360.93,87074.2,8554662.5,5782540,5967890,0.968942121922489,0.010176
1967,1603111628.6,54846.4,8209745,5329832.5,5520315,0.965494269801633,0.006681
1968,952860018,63459.2,7979277.5,5112297.5,5292187.5,0.966008385001476,0.007939
1969,2127810010.1,68778.7,7938370,4959255,5135220,0.965733697874677,0.008668
1970,962838459,102099.8,8132887.5,4845777.5,5026740,0.964000027851053,0.012551
1971,1166728656.6,103305.9,7833037.5,4987967.5,5186990,0.961630444631665,0.013187
1972,2220771572,111464.4,7429550,4985875,5228815,0.953538229981363,0.015
1973,551259355.1,132357.8,7416957.5,4621162.5,4915845,0.940054558270247,0.017838
1974,1515612680.3,132344.7,6935512.5,4468900,4829517.5,0.925330532501435,0.01908
1975,1551470703.7,136874,6723200,4427197.5,4844810,0.913802089246018,0.020361
1976,1823860933.4,153806.1,6991167.5,4041825,4495270,0.899128417202971,0.021993
1977,977939986,190591.8,7325375,4128667.5,4643705,0.889089100190473,0.026014
