fishery,age,sel
9,6,0.0201
9,7,0.0501
9,8,0.1037
9,9,0.2104
9,10,0.3932
9,11,0.6311
9,12,0.8549
9,13,0.988
9,14,1
9,15,0.933
9,16,0.8394
9,17,0.7476
9,18,0.6685
9,19,0.6044
9,20,0.554
9,21,0.515
9,22,0.485
9,23,0.4621
9,24,0.4446
9,25,0.4314
9,26,0.4213
9,27,0.4138
9,28,0.4081
9,29,0.4038
9,30,0.4007
9,31,0.3984
9,32,0.3967
9,33,0.3955
9,34,0.3947
9,35,0.3942
9,36,0.3938
9,37,0.3936
9,38,0.3936
9,39,0.3936
9,40,0.3936
10,1,0.0031
10,2,0.0015
10,3,9e-04
10,4,0.0021
10,5,0.009
10,6,0.0373
10,7,0.1082
10,8,0.2267
10,9,0.377
10,10,0.5329
10,11,0.6714
10,12,0.7803
10,13,0.8589
10,14,0.9127
10,15,0.948
10,16,0.9703
10,17,0.9839
10,18,0.9919
10,19,0.9964
10,20,0.9987
10,21,0.9997
10,22,1
10,23,0.9999
10,24,0.9996
10,25,0.9993
10,26,0.9989
10,27,0.9986
10,28,0.9983
10,29,0.9981
10,30,0.9979
10,31,0.9978
10,32,0.9977
10,33,0.9976
10,34,0.9976
10,35,0.9976
10,36,0.9976
10,37,0.9976
10,38,0.9976
10,39,0.9976
10,40,0.9976
11,1,0
11,2,0
11,3,0
11,4,0
11,5,2e-04
11,6,0.0021
11,7,0.0187
11,8,0.0966
11,9,0.2856
11,10,0.552
11,11,0.7993
11,12,0.9533
11,13,1
11,14,0.9664
11,15,0.8943
11,16,0.8144
11,17,0.7411
11,18,0.6792
11,19,0.629
11,20,0.5894
11,21,0.5584
11,22,0.5345
11,23,0.516
11,24,0.5018
11,25,0.491
11,26,0.4828
11,27,0.4766
11,28,0.4719
11,29,0.4684
11,30,0.4658
11,31,0.4639
11,32,0.4625
11,33,0.4615
11,34,0.4609
11,35,0.4604
11,36,0.4601
11,37,0.46
11,38,0.46
11,39,0.46
11,40,0.46
12,1,0
12,2,0
12,3,0.0055
12,4,0.0057
12,5,0.0101
12,6,0.0376
12,7,0.1578
12,8,0.4464
12,9,0.7269
12,10,0.8292
12,11,0.8125
12,12,0.7649
12,13,0.7319
12,14,0.7277
12,15,0.7445
12,16,0.7715
12,17,0.8025
12,18,0.8338
12,19,0.863
12,20,0.8892
12,21,0.9118
12,22,0.9307
12,23,0.9463
12,24,0.9589
12,25,0.969
12,26,0.9769
12,27,0.983
12,28,0.9877
12,29,0.9912
12,30,0.9939
12,31,0.9959
12,32,0.9973
12,33,0.9983
12,34,0.999
12,35,0.9995
12,36,0.9998
12,37,1
12,38,1
12,39,1
12,40,1
13,1,0
13,2,0.4947
13,3,0.7342
13,4,1
13,5,0.6918
13,6,0.409
13,7,0.3364
13,8,0.4217
13,9,0.4726
13,10,0.3141
13,11,0.1102
13,12,0.0212
13,13,0.0025
13,14,3e-04
13,15,0
13,16,0
13,17,0
13,18,0
13,19,0
13,20,0
13,21,0
13,22,0
13,23,0
13,24,0
13,25,0
13,26,0
13,27,0
13,28,0
13,29,0
13,30,0
13,31,0
13,32,0
13,33,0
13,34,0
13,35,0
13,36,0
13,37,0
13,38,0
13,39,0
13,40,0
14,1,0
14,2,0.0959
14,3,0.2412
14,4,0.7659
14,5,0.9203
14,6,0.6792
14,7,0.5492
14,8,0.6028
14,9,0.7593
14,10,0.9221
14,11,1
14,12,0.9484
14,13,0.7958
14,14,0.6243
14,15,0.4823
14,16,0.3772
14,17,0.3028
14,18,0.2507
14,19,0.214
14,20,0.188
14,21,0.1694
14,22,0.1558
14,23,0.1459
14,24,0.1387
14,25,0.1333
14,26,0.1293
14,27,0.1264
14,28,0.1242
14,29,0.1226
14,30,0.1215
14,31,0.1206
14,32,0.12
14,33,0.1196
14,34,0.1194
14,35,0.1192
14,36,0.1191
14,37,0.119
14,38,0.119
14,39,0.119
14,40,0.119
15,1,0
15,2,0.3516
15,3,0.6063
15,4,1
15,5,0.7171
15,6,0.3985
15,7,0.3027
15,8,0.3687
15,9,0.5105
15,10,0.5956
15,11,0.5215
15,12,0.3376
15,13,0.169
15,14,0.075
15,15,0.0333
15,16,0.0158
15,17,0.0082
15,18,0.0047
15,19,0.003
15,20,0.0021
15,21,0.0015
15,22,0.0012
15,23,0.001
15,24,9e-04
15,25,8e-04
15,26,7e-04
15,27,7e-04
15,28,6e-04
15,29,6e-04
15,30,6e-04
15,31,6e-04
15,32,6e-04
15,33,6e-04
15,34,6e-04
15,35,6e-04
15,36,6e-04
15,37,6e-04
15,38,6e-04
15,39,6e-04
15,40,6e-04
16,1,0
16,2,0.0289
16,3,0.0673
16,4,0.1945
16,5,0.2329
16,6,0.189
16,7,0.1818
16,8,0.2508
16,9,0.4057
16,10,0.6299
16,11,0.8577
16,12,0.9973
16,13,1
16,14,0.9132
16,15,0.8005
16,16,0.6945
16,17,0.6061
16,18,0.5364
16,19,0.4828
16,20,0.4421
16,21,0.4113
16,22,0.3881
16,23,0.3705
16,24,0.3573
16,25,0.3473
16,26,0.3399
16,27,0.3343
16,28,0.3301
16,29,0.327
16,30,0.3248
16,31,0.3232
16,32,0.322
16,33,0.3212
16,34,0.3207
16,35,0.3203
16,36,0.3201
16,37,0.32
16,38,0.32
16,39,0.32
16,40,0.32
17,1,0.1766
17,2,0.7444
17,3,1
17,4,0.2239
17,5,0.1359
17,6,0.2494
17,7,0.2851
17,8,0.0993
17,9,0.0175
17,10,0.0036
17,11,0.0013
17,12,9e-04
17,13,9e-04
17,14,9e-04
17,15,9e-04
17,16,9e-04
17,17,9e-04
17,18,9e-04
17,19,9e-04
17,20,9e-04
17,21,9e-04
17,22,9e-04
17,23,9e-04
17,24,9e-04
17,25,9e-04
17,26,9e-04
17,27,9e-04
17,28,9e-04
17,29,9e-04
17,30,9e-04
17,31,9e-04
17,32,9e-04
17,33,9e-04
17,34,9e-04
17,35,9e-04
17,36,9e-04
17,37,9e-04
17,38,9e-04
17,39,9e-04
17,40,9e-04
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,1e-04
18,7,0.0048
18,8,0.0315
18,9,0.0572
18,10,0.0696
18,11,0.0865
18,12,0.1143
18,13,0.1535
18,14,0.2047
18,15,0.2673
18,16,0.3399
18,17,0.4189
18,18,0.5
18,19,0.5789
18,20,0.6522
18,21,0.7178
18,22,0.7747
18,23,0.8228
18,24,0.8625
18,25,0.8947
18,26,0.9203
18,27,0.9405
18,28,0.9561
18,29,0.9682
18,30,0.9773
18,31,0.9842
18,32,0.9894
18,33,0.9931
18,34,0.9958
18,35,0.9978
18,36,0.9991
18,37,1
18,38,1
18,39,1
18,40,1
19,1,0
19,2,0.2439
19,3,0.1585
19,4,0.0972
19,5,0.102
19,6,0.1446
19,7,0.2072
19,8,0.2649
19,9,0.3115
19,10,0.3532
19,11,0.3962
19,12,0.4448
19,13,0.5015
19,14,0.5635
19,15,0.6264
19,16,0.6867
19,17,0.7421
19,18,0.7912
19,19,0.8334
19,20,0.8689
19,21,0.8981
19,22,0.9217
19,23,0.9405
19,24,0.9553
19,25,0.9668
19,26,0.9757
19,27,0.9824
19,28,0.9875
19,29,0.9913
19,30,0.9941
19,31,0.9961
19,32,0.9975
19,33,0.9985
19,34,0.9992
19,35,0.9996
19,36,0.9999
19,37,1
19,38,1
19,39,1
19,40,1
20,1,0
20,2,0.4897
20,3,0.7339
20,4,1
20,5,0.686
20,6,0.3645
20,7,0.2198
20,8,0.1624
20,9,0.1217
20,10,0.0823
20,11,0.0485
20,12,0.0252
20,13,0.0124
20,14,0.0064
20,15,0.0036
20,16,0.0022
20,17,0.0015
20,18,0.0011
20,19,9e-04
20,20,7e-04
20,21,7e-04
20,22,6e-04
20,23,6e-04
20,24,6e-04
20,25,6e-04
20,26,6e-04
20,27,6e-04
20,28,6e-04
20,29,6e-04
20,30,6e-04
20,31,6e-04
20,32,6e-04
20,33,6e-04
20,34,6e-04
20,35,6e-04
20,36,6e-04
20,37,6e-04
20,38,6e-04
20,39,6e-04
20,40,6e-04
21,1,0
21,2,0.9032
21,3,1
21,4,0.6441
21,5,0.1762
21,6,0.0531
21,7,0.0345
21,8,0.0469
21,9,0.0676
21,10,0.0692
21,11,0.0437
21,12,0.0172
21,13,0.0052
21,14,0.0015
21,15,5e-04
21,16,2e-04
21,17,1e-04
21,18,0
21,19,0
21,20,0
21,21,0
21,22,0
21,23,0
21,24,0
21,25,0
21,26,0
21,27,0
21,28,0
21,29,0
21,30,0
21,31,0
21,32,0
21,33,0
21,34,0
21,35,0
21,36,0
21,37,0
21,38,0
21,39,0
21,40,0
22,1,0
22,2,0.2263
22,3,0.5599
22,4,1
22,5,0.3371
22,6,0.0728
22,7,0.0279
22,8,0.023
22,9,0.0249
22,10,0.0256
22,11,0.0216
22,12,0.0145
22,13,0.0084
22,14,0.0048
22,15,0.0029
22,16,0.0018
22,17,0.0013
22,18,0.001
