year,season,area,age,n
1952,1,1,1,15818500
1952,1,1,2,13305100
1952,1,1,3,10995000
1952,1,1,4,7362920
1952,1,1,5,5463080
1952,1,1,6,5306920
1952,1,1,7,4800020
1952,1,1,8,3796460
1952,1,1,9,3197800
1952,1,1,10,2986500
1952,1,1,11,2701580
1952,1,1,12,2232650
1952,1,1,13,1941970
1952,1,1,14,1776520
1952,1,1,15,1611280
1952,1,1,16,1355670
1952,1,1,17,1189350
1952,1,1,18,1075970
1952,1,1,19,980563
1952,1,1,20,831982
1952,1,1,21,730445
1952,1,1,22,656755
1952,1,1,23,601679
1952,1,1,24,512618
1952,1,1,25,449169
1952,1,1,26,402501
1952,1,1,27,370568
1952,1,1,28,316342
1952,1,1,29,276444
1952,1,1,30,247298
1952,1,1,31,228653
1952,1,1,32,195362
1952,1,1,33,170280
1952,1,1,34,152216
1952,1,1,35,141241
1952,1,1,36,120710
1952,1,1,37,104978
1952,1,1,38,93828.6
1952,1,1,39,87315.5
1952,1,1,40,296147
1953,1,1,1,15818500
1953,1,1,2,13306400
1953,1,1,3,10993400
1953,1,1,4,7351580
1953,1,1,5,5698160
1953,1,1,6,5486240
1953,1,1,7,4879550
1953,1,1,8,3878970
1953,1,1,9,3307910
1953,1,1,10,3081640
1953,1,1,11,2772460
1953,1,1,12,2291710
1953,1,1,13,1999700
1953,1,1,14,1826080
1953,1,1,15,1651340
1953,1,1,16,1389110
1953,1,1,17,1220390
1953,1,1,18,1103070
1953,1,1,19,1003770
1953,1,1,20,851589
1953,1,1,21,748204
1953,1,1,22,672436
1953,1,1,23,615585
1953,1,1,24,524427
1953,1,1,25,459689
1953,1,1,26,411851
1953,1,1,27,379042
1953,1,1,28,323561
1953,1,1,29,282808
1953,1,1,30,252975
1953,1,1,31,233866
1953,1,1,32,199810
1953,1,1,33,174174
1953,1,1,34,155696
1953,1,1,35,144463
1953,1,1,36,123461
1953,1,1,37,107375
1953,1,1,38,95973.1
1953,1,1,39,89310.6
1953,1,1,40,434937
1954,1,1,1,58427000
1954,1,1,2,8391230
1954,1,1,3,2872830
1954,1,1,4,1529400
1954,1,1,5,5404350
1954,1,1,6,5191490
1954,1,1,7,4661360
1954,1,1,8,3720220
1954,1,1,9,3302410
1954,1,1,10,3087620
1954,1,1,11,2754390
1954,1,1,12,2286030
1954,1,1,13,2013210
1954,1,1,14,1838230
1954,1,1,15,1657190
1954,1,1,16,1394240
1954,1,1,17,1227370
1954,1,1,18,1108270
1954,1,1,19,1006450
1954,1,1,20,853891
1954,1,1,21,751168
1954,1,1,22,674916
1954,1,1,23,617276
1954,1,1,24,525947
1954,1,1,25,461371
1954,1,1,26,413286
1954,1,1,27,380141
1954,1,1,28,324517
1954,1,1,29,283762
1954,1,1,30,253797
1954,1,1,31,234543
1954,1,1,32,200394
1954,1,1,33,174725
1954,1,1,34,156177
1954,1,1,35,144877
1954,1,1,36,123818
1954,1,1,37,107701
1954,1,1,38,96259.4
1954,1,1,39,89564.8
1954,1,1,40,523264
1955,1,1,1,15818500
1955,1,1,2,11785800
1955,1,1,3,8858200
1955,1,1,4,2910140
1955,1,1,5,28698600
1955,1,1,6,2398660
1955,1,1,7,1023450
1955,1,1,8,693809
1955,1,1,9,3140040
1955,1,1,10,2921400
1955,1,1,11,2632370
1955,1,1,12,2189300
1955,1,1,13,1992240
1955,1,1,14,1827280
1955,1,1,15,1637790
1955,1,1,16,1381600
1955,1,1,17,1224080
1955,1,1,18,1104860
1955,1,1,19,1000690
1955,1,1,20,848707
1955,1,1,21,747334
1955,1,1,22,670758
1955,1,1,23,612450
1955,1,1,24,521839
1955,1,1,25,458186
1955,1,1,26,410363
1955,1,1,27,377209
1955,1,1,28,322079
1955,1,1,29,281799
1955,1,1,30,252008
1955,1,1,31,232787
1955,1,1,32,198910
