year,season,area,ssb
1981,4,5,888420
1982,4,5,847510
1983,4,5,851140
1984,4,5,915410
1985,4,5,943830
1986,4,5,910780
1987,4,5,968360
1988,4,5,973930
1989,4,5,951350
1990,4,5,841750
1991,4,5,757870
1992,4,5,718690
1993,4,5,629110
1994,4,5,673350
1995,4,5,733030
1996,4,5,780580
1997,4,5,725290
1998,4,5,655420
1999,4,5,558270
2000,4,5,557550
2001,4,5,518440
2002,4,5,535000
2003,4,5,563630
2004,4,5,543470
2005,4,5,523790
2006,4,5,571560
2007,4,5,591860
2008,4,5,620670
2009,4,5,590990
2010,4,5,555260
2011,4,5,522530
2012,4,5,479350
2013,4,5,434570
2014,4,5,434720
2015,4,5,479720
2016,4,5,513160
2017,4,5,522100
2018,4,5,509030
2019,4,5,544200
2020,4,5,603840
2021,4,5,626230
