year,season,fishery,area,catch
1952,1,1,1,490.14
1953,1,1,1,736.091
1954,1,1,1,1019.24
1955,1,1,1,995.409
1956,1,1,1,1374.15
1957,1,1,1,1081.38
1958,1,1,1,621.779
1959,1,1,1,2652
1960,1,1,1,2694.6
1961,1,1,1,1154.98
1962,1,1,1,3201.31
1963,1,1,1,1398.53
1964,1,1,1,841.148
1965,1,1,1,1029.76
1966,1,1,1,1080.25
1967,1,1,1,1400.06
1968,1,1,1,1110.27
1969,1,1,1,1118.06
1970,1,1,1,3102.21
1971,1,1,1,1334.56
1972,1,1,1,1291.1
1973,1,1,1,840.26
1974,1,1,1,2038.4
1975,1,1,1,2438.71
1976,1,1,1,2389.62
1977,1,1,1,2831.11
1978,1,1,1,4635.38
1979,1,1,1,3613
1980,1,1,1,3794.18
1981,1,1,1,2448.68
1982,1,1,1,2048.46
1983,1,1,1,3186.58
1984,1,1,1,3120.52
1985,1,1,1,2113.65
1986,1,1,1,3327.11
1987,1,1,1,2195.18
1988,1,1,1,2743.28
1989,1,1,1,2529.44
1990,1,1,1,1903
1991,1,1,1,3113.3
1992,1,1,1,3034.54
1993,1,1,1,2907.83
1994,1,1,1,1585.39
1995,1,1,1,2466.11
1996,1,1,1,975.281
1997,1,1,1,1569.86
1998,1,1,1,2198.04
1999,1,1,1,1143.4
2000,1,1,1,2585.87
2001,1,1,1,1507.03
2002,1,1,1,738.416
2003,1,1,1,1693.73
2004,1,1,1,1032.73
2005,1,1,1,945.679
2006,1,1,1,2117.49
2007,1,1,1,1047.56
2008,1,1,1,1237.92
2009,1,1,1,2040.55
2010,1,1,1,1621.22
2011,1,1,1,1706.63
2012,1,1,1,1464.22
2013,1,1,1,1360.53
2014,1,1,1,944.859
2015,1,1,1,2273.2
2016,1,1,1,1623.77
2017,1,1,1,1653.2
2018,1,1,1,1868.59
2019,1,1,1,3118.32
2020,1,1,1,1441.01
2021,1,1,1,3913.59
1952,1,2,1,216.34
1953,1,2,1,525.868
1954,1,2,1,67.4943
1955,1,2,1,126.201
1956,1,2,1,199.153
1957,1,2,1,276.854
1958,1,2,1,225.316
1959,1,2,1,2377.01
1960,1,2,1,1334.51
1961,1,2,1,1730.02
1962,1,2,1,2085.82
1963,1,2,1,1282.55
1964,1,2,1,720.845
1965,1,2,1,1106.48
1966,1,2,1,583.397
1967,1,2,1,1042.25
1968,1,2,1,568.479
1969,1,2,1,610.023
1970,1,2,1,2123.75
1971,1,2,1,1615.35
1972,1,2,1,629.305
1973,1,2,1,681.06
1974,1,2,1,1708.56
1975,1,2,1,814.178
1976,1,2,1,1130.01
1977,1,2,1,817.937
1978,1,2,1,1160.67
1979,1,2,1,1947.37
1980,1,2,1,2039.52
1981,1,2,1,1237.06
1982,1,2,1,1314.16
1983,1,2,1,670.301
1984,1,2,1,1056.35
1985,1,2,1,737.455
1986,1,2,1,1396.48
1987,1,2,1,1207.23
1988,1,2,1,2623.96
1989,1,2,1,1629.37
1990,1,2,1,1287.65
1991,1,2,1,1765.85
1992,1,2,1,538.354
1993,1,2,1,2132.27
1994,1,2,1,1153.55
1995,1,2,1,1992.24
1996,1,2,1,754.457
1997,1,2,1,907.087
1998,1,2,1,234.066
1999,1,2,1,441.156
2000,1,2,1,561.393
2001,1,2,1,274.257
2002,1,2,1,266.811
2003,1,2,1,1004.4
2004,1,2,1,413.414
2005,1,2,1,897.232
2006,1,2,1,738.228
2007,1,2,1,188.983
2008,1,2,1,747.77
2009,1,2,1,237.175
2010,1,2,1,54.0912
2011,1,2,1,424.383
2012,1,2,1,533.396
2013,1,2,1,525.273
2014,1,2,1,285.455
2015,1,2,1,444.654
2016,1,2,1,651.45
2017,1,2,1,2898.94
2018,1,2,1,2039.57
