year,season,fishery,area,catch
2019,1,2,1,2392.47
2020,1,2,1,1422.42
2021,1,2,1,3733.82
1952,1,3,1,0
1953,1,3,1,0
1954,1,3,1,0
1955,1,3,1,0
1956,1,3,1,0
1957,1,3,1,0
1958,1,3,1,0
1959,1,3,1,0
1960,1,3,1,0
1961,1,3,1,0
1962,1,3,1,0
1963,1,3,1,0
1964,1,3,1,0
1965,1,3,1,0
1966,1,3,1,0
1967,1,3,1,0
1968,1,3,1,0
1969,1,3,1,0
1970,1,3,1,0
1971,1,3,1,0
1972,1,3,1,0
1973,1,3,1,0
1974,1,3,1,0
1975,1,3,1,0
1976,1,3,1,0
1977,1,3,1,0
1978,1,3,1,0
1979,1,3,1,0
1980,1,3,1,0
1981,1,3,1,0
1982,1,3,1,0
1983,1,3,1,0
1984,1,3,1,0
1985,1,3,1,0
1986,1,3,1,0
1987,1,3,1,0
1988,1,3,1,0
1989,1,3,1,0
1990,1,3,1,0
1991,1,3,1,139.947
1992,1,3,1,115.028
1993,1,3,1,225.518
1994,1,3,1,196.161
1995,1,3,1,296.906
1996,1,3,1,282.843
1997,1,3,1,294.582
1998,1,3,1,118.688
1999,1,3,1,160.638
2000,1,3,1,134.829
2001,1,3,1,182.373
2002,1,3,1,59.5611
2003,1,3,1,488.872
2004,1,3,1,108.973
2005,1,3,1,459.925
2006,1,3,1,319.268
2007,1,3,1,132.164
2008,1,3,1,627.442
2009,1,3,1,125.77
2010,1,3,1,131.99
2011,1,3,1,409.004
2012,1,3,1,295.66
2013,1,3,1,266.763
2014,1,3,1,263.326
2015,1,3,1,259.883
2016,1,3,1,349.736
2017,1,3,1,708.78
2018,1,3,1,661.505
2019,1,3,1,462.136
2020,1,3,1,383.375
2021,1,3,1,733.1
1952,1,4,4,1592.04
1953,1,4,4,1379.6
1954,1,4,4,777.53
1955,1,4,4,2332.9
1956,1,4,4,2888.83
1957,1,4,4,4977.81
1958,1,4,4,3013.67
1959,1,4,4,3642.27
1960,1,4,4,7461.28
1961,1,4,4,4941.26
1962,1,4,4,2893.84
1963,1,4,4,3266.66
1964,1,4,4,5046.84
1965,1,4,4,2805.85
1966,1,4,4,5007.77
1967,1,4,4,2304.49
1968,1,4,4,2906.14
1969,1,4,4,1891.97
1970,1,4,4,3084.56
1971,1,4,4,4357.6
1972,1,4,4,7499.93
1973,1,4,4,2021.08
1974,1,4,4,2306.93
1975,1,4,4,4748.9
1976,1,4,4,2873.53
1977,1,4,4,4260.81
1978,1,4,4,6340.47
1979,1,4,4,9458.37
1980,1,4,4,5689.36
1981,1,4,4,4285.66
1982,1,4,4,5697.15
1983,1,4,4,3222.84
1984,1,4,4,5311.55
1985,1,4,4,4352.55
1986,1,4,4,2018.62
1987,1,4,4,2191.45
1988,1,4,4,3641.88
1989,1,4,4,3511.57
1990,1,4,4,3765.47
1991,1,4,4,1709.55
1992,1,4,4,1994.92
1993,1,4,4,1366.84
1994,1,4,4,1704.72
1995,1,4,4,2699.56
1996,1,4,4,1257.53
1997,1,4,4,1487
1998,1,4,4,619.775
1999,1,4,4,970.031
2000,1,4,4,1845.93
2001,1,4,4,1047.91
2002,1,4,4,1318.49
2003,1,4,4,1335.98
2004,1,4,4,1230.29
2005,1,4,4,1014.63
2006,1,4,4,1471.93
2007,1,4,4,1949.14
2008,1,4,4,770.718
2009,1,4,4,827.86
2010,1,4,4,1475.07
2011,1,4,4,1390.68
2012,1,4,4,448.556
2013,1,4,4,473.319
2014,1,4,4,831.391
2015,1,4,4,1607.01
2016,1,4,4,646.977
2017,1,4,4,659.365
2018,1,4,4,1009.63
2019,1,4,4,1170.38
2020,1,4,4,1052.22
2021,1,4,4,507.437
1952,1,5,4,0
1953,1,5,4,0
1954,1,5,4,0
1955,1,5,4,0
1956,1,5,4,0
1957,1,5,4,0
1958,1,5,4,0
1959,1,5,4,0
1960,1,5,4,0
1961,1,5,4,0
1962,1,5,4,0
1963,1,5,4,0
1964,1,5,4,0
1965,1,5,4,0
1966,1,5,4,0
1967,1,5,4,0
1968,1,5,4,0
1969,1,5,4,0
1970,1,5,4,0
1971,1,5,4,0
1972,1,5,4,0
1973,1,5,4,0
1974,1,5,4,0
1975,1,5,4,0
1976,1,5,4,0
1977,1,5,4,0
1978,1,5,4,0
1979,1,5,4,0
1980,1,5,4,0
1981,1,5,4,0
1982,1,5,4,0
1983,1,5,4,0
1984,1,5,4,0
1985,1,5,4,0
1986,1,5,4,0
1987,1,5,4,0
1988,1,5,4,2.23376
1989,1,5,4,3.97855
1990,1,5,4,220.413
1991,1,5,4,68.1416
1992,1,5,4,127.617
1993,1,5,4,247.78
1994,1,5,4,846.279
1995,1,5,4,2079.87
1996,1,5,4,2086.92
1997,1,5,4,819.619
1998,1,5,4,1659.36
1999,1,5,4,1013.43
2000,1,5,4,1100.12
2001,1,5,4,1797.46
2002,1,5,4,457.344
2003,1,5,4,898.714
2004,1,5,4,455.558
2005,1,5,4,268.627
2006,1,5,4,694.2
2007,1,5,4,834.049
2008,1,5,4,571.892
2009,1,5,4,1079.5
2010,1,5,4,697.054
2011,1,5,4,1566.59
2012,1,5,4,959.675
2013,1,5,4,2567.03
2014,1,5,4,1665.66
2015,1,5,4,2318.95
2016,1,5,4,1542.64
2017,1,5,4,2437.25
2018,1,5,4,3136.28
2019,1,5,4,5057.14
2020,1,5,4,1569.05
2021,1,5,4,1667.73
1952,1,6,2,0
1953,1,6,2,0
1954,1,6,2,0
1955,1,6,2,0
1956,1,6,2,0
1957,1,6,2,0
1958,1,6,2,959.71
1959,1,6,2,755.895
1960,1,6,2,770.591
1961,1,6,2,869.767
1962,1,6,2,893.842
1963,1,6,2,540.53
1964,1,6,2,995.917
1965,1,6,2,1122.97
1966,1,6,2,1337.61
1967,1,6,2,1111.82
1968,1,6,2,1647.56
1969,1,6,2,1343.88
1970,1,6,2,1832.39
1971,1,6,2,1427.1
1972,1,6,2,1130.87
1973,1,6,2,1898.93
1974,1,6,2,2123.35
1975,1,6,2,3765.7
1976,1,6,2,3792.84
1977,1,6,2,5250.6
1978,1,6,2,7345.83
1979,1,6,2,9458.58
1980,1,6,2,8038.49
1981,1,6,2,9960.14
1982,1,6,2,6734.84
1983,1,6,2,7696.52
1984,1,6,2,7009.49
1985,1,6,2,6412.33
1986,1,6,2,6845.5
1987,1,6,2,7806.51
1988,1,6,2,8039.55
1989,1,6,2,7621.4
1990,1,6,2,6731.18
1991,1,6,2,6787.87
1992,1,6,2,7911.73
1993,1,6,2,6216.76
1994,1,6,2,6693.17
1995,1,6,2,7189.76
1996,1,6,2,9879.75
1997,1,6,2,7574.39
1998,1,6,2,10482.5
1999,1,6,2,8425.54
2000,1,6,2,13069.7
2001,1,6,2,13041.9
2002,1,6,2,13460.4
2003,1,6,2,14077.6
2004,1,6,2,14672.8
2005,1,6,2,10871.7
2006,1,6,2,12031.5
2007,1,6,2,12857.4
2008,1,6,2,13152.5
2009,1,6,2,15534.3
2010,1,6,2,13756.2
2011,1,6,2,16035
2012,1,6,2,13732.2
2013,1,6,2,16779.4
2014,1,6,2,16603.7
2015,1,6,2,15745.1
2016,1,6,2,13628.8
2017,1,6,2,8501.63
2018,1,6,2,14538
2019,1,6,2,11851.6
2020,1,6,2,8539.55
2021,1,6,2,9382.58
1952,1,7,2,3084.23
1953,1,7,2,529.205
1954,1,7,2,1330.42
1955,1,7,2,861.768
1956,1,7,2,961.384
1957,1,7,2,642.648
1958,1,7,2,813.493
1959,1,7,2,2128.94
1960,1,7,2,2965.31
1961,1,7,2,2208.6
1962,1,7,2,4261.48
1963,1,7,2,1486.29
1964,1,7,2,1899.66
1965,1,7,2,1357.67
1966,1,7,2,2139.69
1967,1,7,2,1832.55
1968,1,7,2,2778.31
1969,1,7,2,1827.27
1970,1,7,2,1102.32
1971,1,7,2,1469.12
1972,1,7,2,1016.01
1973,1,7,2,3811.54
1974,1,7,2,6188
1975,1,7,2,2624.76
1976,1,7,2,3667.6
1977,1,7,2,3172.05
1978,1,7,2,3255.28
1979,1,7,2,2790.07
1980,1,7,2,2558.96
1981,1,7,2,4093.87
1982,1,7,2,964.719
1983,1,7,2,982.1
1984,1,7,2,1312.75
1985,1,7,2,764.897
1986,1,7,2,782.534
1987,1,7,2,701.771
1988,1,7,2,740.787
1989,1,7,2,815.934
1990,1,7,2,1113.33
1991,1,7,2,962.488
1992,1,7,2,1100.27
1993,1,7,2,880.985
1994,1,7,2,1542.04
1995,1,7,2,1472.11
1996,1,7,2,700.059
1997,1,7,2,396.967
1998,1,7,2,216.294
1999,1,7,2,191.593
2000,1,7,2,397.722
2001,1,7,2,741.879
2002,1,7,2,433.025
2003,1,7,2,551.928
2004,1,7,2,316.047
2005,1,7,2,270.113
2006,1,7,2,344.096
2007,1,7,2,273.895
2008,1,7,2,203.642
2009,1,7,2,343.818
2010,1,7,2,275.302
2011,1,7,2,341.68
2012,1,7,2,240.776
2013,1,7,2,98.3231
2014,1,7,2,138.586
2015,1,7,2,327.988
2016,1,7,2,364.485
2017,1,7,2,331.329
2018,1,7,2,385.234
2019,1,7,2,310.762
2020,1,7,2,60.4117
2021,1,7,2,300.343
1952,1,8,3,307.518
1953,1,8,3,2617.82
1954,1,8,3,2095.22
1955,1,8,3,665.187
1956,1,8,3,2530.82
1957,1,8,3,2740.58
1958,1,8,3,2988.45
1959,1,8,3,159.318
1960,1,8,3,2152.49
1961,1,8,3,1833.33
1962,1,8,3,4734.88
1963,1,8,3,1155.35
1964,1,8,3,1161.43
1965,1,8,3,338.675
1966,1,8,3,829.714
1967,1,8,3,1043.64
1968,1,8,3,1439.42
1969,1,8,3,277.198
1970,1,8,3,42.8612
1971,1,8,3,266.908
1972,1,8,3,100.45
1973,1,8,3,2124.61
1974,1,8,3,367.907
1975,1,8,3,112.243
1976,1,8,3,1300.12
1977,1,8,3,1006.92
1978,1,8,3,1279.47
1979,1,8,3,708.894
1980,1,8,3,2789.46
1981,1,8,3,2541.12
1982,1,8,3,1996.92
1983,1,8,3,1855.04
1984,1,8,3,1560.75
1985,1,8,3,1002.16
1986,1,8,3,1108.77
1987,1,8,3,212.789
1988,1,8,3,458.809
1989,1,8,3,225.741
1990,1,8,3,18.917
1991,1,8,3,455.797
1992,1,8,3,36.9369
1993,1,8,3,0.0651448
1994,1,8,3,39.047
1995,1,8,3,807.551
1996,1,8,3,82.228
1997,1,8,3,178.627
1998,1,8,3,240.18
1999,1,8,3,126.238
2000,1,8,3,143.678
2001,1,8,3,152.171
2002,1,8,3,501.273
2003,1,8,3,590.4
2004,1,8,3,389.365
2005,1,8,3,372.555
2006,1,8,3,545.215
2007,1,8,3,498.924
2008,1,8,3,453.01
2009,1,8,3,657.347
2010,1,8,3,627.763
2011,1,8,3,1347.52
2012,1,8,3,740.842
2013,1,8,3,443.371
2014,1,8,3,943.495
2015,1,8,3,692.97
2016,1,8,3,1043
2017,1,8,3,604.71
2018,1,8,3,617.182
2019,1,8,3,1065.96
2020,1,8,3,426.408
2021,1,8,3,591.858
1952,1,9,4,62.2366
1953,1,9,4,544.818
1954,1,9,4,230.35
1955,1,9,4,308.207
1956,1,9,4,926.304
1957,1,9,4,1699.8
1958,1,9,4,1614.41
1959,1,9,4,2795.88
1960,1,9,4,2259.43
1961,1,9,4,2197.46
1962,1,9,4,1067.41
1963,1,9,4,2070.21
1964,1,9,4,2805.18
1965,1,9,4,3885.63
1966,1,9,4,2476.22
1967,1,9,4,2149.34
1968,1,9,4,1970.63
1969,1,9,4,4396.27
1970,1,9,4,4760.27
1971,1,9,4,2501.59
1972,1,9,4,4859.34
1973,1,9,4,2127.58
1974,1,9,4,969.881
1975,1,9,4,2059.3
1976,1,9,4,2901.36
1977,1,9,4,4930.23
1978,1,9,4,4190.77
1979,1,9,4,4893.94
1980,1,9,4,9213.73
1981,1,9,4,1433.98
1982,1,9,4,3869.51
1983,1,9,4,5024.76
1984,1,9,4,5604.06
1985,1,9,4,4608.48
1986,1,9,4,3363.92
1987,1,9,4,5307.35
1988,1,9,4,6332.5
1989,1,9,4,2592.92
1990,1,9,4,3197.21
1991,1,9,4,1988.73
1992,1,9,4,4082.21
1993,1,9,4,2324.39
1994,1,9,4,2474.81
1995,1,9,4,4493.91
1996,1,9,4,3224.72
1997,1,9,4,7793.43
1998,1,9,4,3277.67
1999,1,9,4,2373.18
2000,1,9,4,4642.62
2001,1,9,4,3139.03
2002,1,9,4,3284.62
2003,1,9,4,5977.27
2004,1,9,4,2924.24
2005,1,9,4,3932.08
2006,1,9,4,5541.37
2007,1,9,4,1485.82
2008,1,9,4,1603.57
2009,1,9,4,1841.14
2010,1,9,4,2693.74
2011,1,9,4,4456.24
2012,1,9,4,2191.86
2013,1,9,4,2555.04
2014,1,9,4,3885.78
2015,1,9,4,4899.39
2016,1,9,4,5143.85
2017,1,9,4,1937.58
2018,1,9,4,2044.07
2019,1,9,4,4791.9
2020,1,9,4,3360.91
2021,1,9,4,2505.47
1952,1,10,5,0
1953,1,10,5,0
1954,1,10,5,0
1955,1,10,5,0
1956,1,10,5,0
1957,1,10,5,0
1958,1,10,5,0
1959,1,10,5,0
1960,1,10,5,0
1961,1,10,5,0
1962,1,10,5,0
1963,1,10,5,0
1964,1,10,5,0
1965,1,10,5,0
1966,1,10,5,0
1967,1,10,5,0
1968,1,10,5,0
1969,1,10,5,0
1970,1,10,5,0
1971,1,10,5,0
1972,1,10,5,0
1973,1,10,5,0
1974,1,10,5,0
1975,1,10,5,0
1976,1,10,5,0
1977,1,10,5,0
1978,1,10,5,0
1979,1,10,5,0
1980,1,10,5,0
1981,1,10,5,0
1982,1,10,5,0
1983,1,10,5,0
1984,1,10,5,0
1985,1,10,5,0
1986,1,10,5,0
1987,1,10,5,35.218
1988,1,10,5,110.033
1989,1,10,5,88.2337
1990,1,10,5,47.9627
1991,1,10,5,64.8175
1992,1,10,5,129.733
1993,1,10,5,109.972
1994,1,10,5,305.277
1995,1,10,5,234.096
1996,1,10,5,200.374
1997,1,10,5,420.285
1998,1,10,5,346.666
1999,1,10,5,646.649
2000,1,10,5,319.128
2001,1,10,5,617.964
2002,1,10,5,516.998
2003,1,10,5,925.651
2004,1,10,5,383.407
2005,1,10,5,463.429
2006,1,10,5,294.462
2007,1,10,5,306.752
2008,1,10,5,224.498
2009,1,10,5,271.563
2010,1,10,5,218.827
2011,1,10,5,373.048
2012,1,10,5,136.639
2013,1,10,5,236.161
2014,1,10,5,262.236
2015,1,10,5,317.738
2016,1,10,5,484.592
2017,1,10,5,238.263
2018,1,10,5,294.371
2019,1,10,5,395.883
2020,1,10,5,334.843
2021,1,10,5,405.767
1952,1,11,5,0
1953,1,11,5,1399.68
1954,1,11,5,2851.2
1955,1,11,5,1465.05
1956,1,11,5,472.31
1957,1,11,5,592.286
1958,1,11,5,248.383
1959,1,11,5,413.483
1960,1,11,5,167.605
1961,1,11,5,155.404
1962,1,11,5,1588.28
1963,1,11,5,617.733
1964,1,11,5,1115.85
1965,1,11,5,83.5559
1966,1,11,5,741.58
1967,1,11,5,328.576
1968,1,11,5,155.774
1969,1,11,5,787.989
1970,1,11,5,341.534
1971,1,11,5,976.609
1972,1,11,5,670.314
1973,1,11,5,1144.85
1974,1,11,5,1324.9
1975,1,11,5,525.346
1976,1,11,5,458.539
1977,1,11,5,830.798
1978,1,11,5,1057.33
1979,1,11,5,780.815
1980,1,11,5,740.729
1981,1,11,5,1104.84
1982,1,11,5,2012.81
1983,1,11,5,538.304
1984,1,11,5,546.276
1985,1,11,5,741.205
1986,1,11,5,2058.18
1987,1,11,5,717.389
1988,1,11,5,2366.25
1989,1,11,5,878.111
1990,1,11,5,1791.86
1991,1,11,5,511.333
1992,1,11,5,429.191
1993,1,11,5,856.093
1994,1,11,5,1236.79
1995,1,11,5,1472.54
1996,1,11,5,606.99
1997,1,11,5,972.288
1998,1,11,5,423.671
1999,1,11,5,626.187
2000,1,11,5,453.53
2001,1,11,5,720.079
2002,1,11,5,940.486
2003,1,11,5,1268.7
2004,1,11,5,921.102
2005,1,11,5,1602.12
2006,1,11,5,1352.07
2007,1,11,5,1349.69
2008,1,11,5,1855.55
2009,1,11,5,1660
2010,1,11,5,2657.12
2011,1,11,5,2798.84
2012,1,11,5,1803.53
2013,1,11,5,1067.31
2014,1,11,5,1949.25
2015,1,11,5,1607.44
2016,1,11,5,1840.2
2017,1,11,5,1625.83
2018,1,11,5,1687.42
2019,1,11,5,1828.34
2020,1,11,5,1720.75
2021,1,11,5,2200.37
1952,1,12,5,0
1953,1,12,5,75.659
1954,1,12,5,148.51
1955,1,12,5,591.231
1956,1,12,5,165.841
1957,1,12,5,424.551
1958,1,12,5,144.635
1959,1,12,5,578.335
1960,1,12,5,225.512
1961,1,12,5,597.897
1962,1,12,5,108.581
1963,1,12,5,202.115
1964,1,12,5,128.886
1965,1,12,5,402.419
1966,1,12,5,524.024
1967,1,12,5,354.512
1968,1,12,5,315.374
1969,1,12,5,838.428
1970,1,12,5,312.079
1971,1,12,5,429.605
1972,1,12,5,1130.63
1973,1,12,5,420.095
1974,1,12,5,822.491
1975,1,12,5,182.59
1976,1,12,5,232.448
1977,1,12,5,529.362
1978,1,12,5,501.826
1979,1,12,5,336.496
1980,1,12,5,572.532
1981,1,12,5,556.768
1982,1,12,5,533.826
1983,1,12,5,217.255
1984,1,12,5,322.324
1985,1,12,5,155.493
1986,1,12,5,329.043
1987,1,12,5,141.05
1988,1,12,5,1358.71
1989,1,12,5,137.187
1990,1,12,5,530.694
1991,1,12,5,400.48
1992,1,12,5,123.017
1993,1,12,5,259.479
1994,1,12,5,489.241
1995,1,12,5,691.466
1996,1,12,5,707.461
1997,1,12,5,1304.38
1998,1,12,5,704.41
1999,1,12,5,962.331
2000,1,12,5,1359.87
2001,1,12,5,1247.03
2002,1,12,5,946.946
2003,1,12,5,1718.36
2004,1,12,5,1488.46
2005,1,12,5,997.775
2006,1,12,5,1416.47
2007,1,12,5,952.919
2008,1,12,5,1420.34
2009,1,12,5,1667.93
2010,1,12,5,1214.97
2011,1,12,5,1997.25
2012,1,12,5,1697.55
2013,1,12,5,1321.05
2014,1,12,5,1517.08
2015,1,12,5,1531.3
2016,1,12,5,1548.86
2017,1,12,5,2814.02
2018,1,12,5,1583.86
2019,1,12,5,2640.4
2020,1,12,5,2292.85
2021,1,12,5,4227.08
1952,1,13,4,0
1953,1,13,4,0
1954,1,13,4,0
1955,1,13,4,0
1956,1,13,4,0
1957,1,13,4,0
1958,1,13,4,0
1959,1,13,4,0
1960,1,13,4,0
1961,1,13,4,0
1962,1,13,4,0
1963,1,13,4,0
1964,1,13,4,0
1965,1,13,4,0
1966,1,13,4,0
1967,1,13,4,0
1968,1,13,4,0
1969,1,13,4,0
1970,1,13,4,0
1971,1,13,4,21
1972,1,13,4,24.4
1973,1,13,4,117.7
1974,1,13,4,120.5
1975,1,13,4,181.9
1976,1,13,4,462.7
1977,1,13,4,399.5
1978,1,13,4,737
1979,1,13,4,622.8
1980,1,13,4,663.4
1981,1,13,4,3381.5
1982,1,13,4,9580.4
1983,1,13,4,5280.7
1984,1,13,4,12462.8
1985,1,13,4,6785.3
1986,1,13,4,14620.1
1987,1,13,4,16886.6
1988,1,13,4,18301.1
1989,1,13,4,8102.3
1990,1,13,4,17775.9
1991,1,13,4,19211.7
1992,1,13,4,14984.1
1993,1,13,4,17088.5
1994,1,13,4,23876.7
1995,1,13,4,16498
1996,1,13,4,20405.1
1997,1,13,4,16930.7
1998,1,13,4,13781.5
1999,1,13,4,16834.1
2000,1,13,4,12185.4
2001,1,13,4,11328.6
2002,1,13,4,31205.9
2003,1,13,4,20683.3
2004,1,13,4,26891.5
2005,1,13,4,19179.9
2006,1,13,4,19786.9
2007,1,13,4,27254.3
2008,1,13,4,29051
2009,1,13,4,15596.1
2010,1,13,4,12918.2
2011,1,13,4,16156.6
2012,1,13,4,11450.3
2013,1,13,4,25141.7
2014,1,13,4,21660.1
2015,1,13,4,10277.3
2016,1,13,4,10103.7
2017,1,13,4,14982.6
2018,1,13,4,16084.5
2019,1,13,4,11124.5
2020,1,13,4,8795.8
2021,1,13,4,24581.3
1952,1,14,4,0
1953,1,14,4,0
1954,1,14,4,0
1955,1,14,4,0
1956,1,14,4,0
1957,1,14,4,0
1958,1,14,4,0
1959,1,14,4,0
1960,1,14,4,0
1961,1,14,4,0
1962,1,14,4,0
1963,1,14,4,0
1964,1,14,4,0
1965,1,14,4,0
1966,1,14,4,0
1967,1,14,4,0
1968,1,14,4,0.6
1969,1,14,4,0
1970,1,14,4,0.1
1971,1,14,4,0
1972,1,14,4,0
1973,1,14,4,0
1974,1,14,4,0.1
1975,1,14,4,39.8
1976,1,14,4,0
1977,1,14,4,0.4
1978,1,14,4,211.1
1979,1,14,4,4
1980,1,14,4,379.5
1981,1,14,4,492.3
1982,1,14,4,1948.9
1983,1,14,4,8015.4
1984,1,14,4,1552.9
1985,1,14,4,4130
1986,1,14,4,1304
1987,1,14,4,13610.3
1988,1,14,4,3552.8
1989,1,14,4,4262.4
1990,1,14,4,8891.6
1991,1,14,4,5810
1992,1,14,4,9867.4
1993,1,14,4,22435.4
1994,1,14,4,10247.5
1995,1,14,4,24999.7
1996,1,14,4,14515.2
1997,1,14,4,5217.8
1998,1,14,4,38075.8
1999,1,14,4,10839.9
2000,1,14,4,18863.2
2001,1,14,4,24059.8
2002,1,14,4,5057
2003,1,14,4,25860.1
2004,1,14,4,7959.7
2005,1,14,4,10137.7
2006,1,14,4,12608.7
2007,1,14,4,15662.6
2008,1,14,4,5987.3
2009,1,14,4,7212.1
2010,1,14,4,6108.7
2011,1,14,4,2529.9
2012,1,14,4,21110.3
2013,1,14,4,10023.3
2014,1,14,4,5488.5
2015,1,14,4,12675.7
2016,1,14,4,30663.6
2017,1,14,4,17586.4
2018,1,14,4,12023.8
2019,1,14,4,11523.6
2020,1,14,4,8438.8
2021,1,14,4,5093.4
1952,1,15,4,0
1953,1,15,4,0
1954,1,15,4,0
1955,1,15,4,0
1956,1,15,4,0
1957,1,15,4,0
1958,1,15,4,0
1959,1,15,4,0
1960,1,15,4,0
1961,1,15,4,0
1962,1,15,4,0
1963,1,15,4,0
1964,1,15,4,0
1965,1,15,4,0
1966,1,15,4,0
1967,1,15,4,0
1968,1,15,4,0
1969,1,15,4,0
1970,1,15,4,0
1971,1,15,4,0
1972,1,15,4,0
1973,1,15,4,0
1974,1,15,4,0
1975,1,15,4,0
1976,1,15,4,0
1977,1,15,4,0
1978,1,15,4,0
1979,1,15,4,0
1980,1,15,4,0
1981,1,15,4,0
1982,1,15,4,0
1983,1,15,4,1832
1984,1,15,4,2552.8
1985,1,15,4,99.2
1986,1,15,4,61
1987,1,15,4,59.8
1988,1,15,4,99.8
1989,1,15,4,0
1990,1,15,4,2175.2
1991,1,15,4,6.3
1992,1,15,4,4882.8
1993,1,15,4,5905.8
1994,1,15,4,2838.3
1995,1,15,4,1889.9
1996,1,15,4,1858.9
1997,1,15,4,5630.1
1998,1,15,4,11608.1
1999,1,15,4,5260.4
2000,1,15,4,8668.5
2001,1,15,4,2779
2002,1,15,4,13742.7
2003,1,15,4,60.6
2004,1,15,4,7915.3
2005,1,15,4,4958.5
2006,1,15,4,1003.1
2007,1,15,4,2857.7
2008,1,15,4,6183.1
2009,1,15,4,6786
2010,1,15,4,13869
2011,1,15,4,11861.7
2012,1,15,4,6948
2013,1,15,4,9725.9
2014,1,15,4,17975.7
2015,1,15,4,13934.3
2016,1,15,4,11525.1
2017,1,15,4,12463.8
2018,1,15,4,12091.8
2019,1,15,4,12748.5
2020,1,15,4,18327.9
2021,1,15,4,16089.2
1952,1,16,4,0
1953,1,16,4,0
1954,1,16,4,0
1955,1,16,4,0
1956,1,16,4,0
1957,1,16,4,0
1958,1,16,4,0
1959,1,16,4,0
1960,1,16,4,0
1961,1,16,4,0
1962,1,16,4,0
1963,1,16,4,0
1964,1,16,4,0
1965,1,16,4,0
1966,1,16,4,0
1967,1,16,4,0
1968,1,16,4,0
1969,1,16,4,0
1970,1,16,4,0
1971,1,16,4,0
