rel.group,rel.area,rel.year,rel.season,program,rel.length,rec.fishery,rec.year,rec.season,rec.number
1,2,1990,2,RTTP,40,13,1990,3,1
1,2,1990,2,RTTP,44,13,1990,3,1
1,2,1990,2,RTTP,48,13,1991,1,1
1,2,1990,2,RTTP,50,25,1991,1,1
1,2,1990,2,RTTP,52,25,1991,1,1
2,2,1990,3,RTTP,28,17,1990,3,1
2,2,1990,3,RTTP,34,13,1990,3,1
2,2,1990,3,RTTP,34,17,1990,3,1
2,2,1990,3,RTTP,34,24,1990,3,1
2,2,1990,3,RTTP,34,25,1991,1,1
2,2,1990,3,RTTP,36,13,1990,3,1
2,2,1990,3,RTTP,36,13,1990,4,1
2,2,1990,3,RTTP,36,13,1991,1,1
2,2,1990,3,RTTP,36,13,1991,3,1
2,2,1990,3,RTTP,36,15,1992,2,1
2,2,1990,3,RTTP,36,17,1993,4,1
2,2,1990,3,RTTP,36,24,1990,3,2
2,2,1990,3,RTTP,36,25,1991,1,1
2,2,1990,3,RTTP,36,28,1990,3,2
2,2,1990,3,RTTP,38,13,1990,3,1
2,2,1990,3,RTTP,38,13,1990,4,1
2,2,1990,3,RTTP,38,15,1992,1,1
2,2,1990,3,RTTP,38,24,1990,3,1
2,2,1990,3,RTTP,38,25,1990,4,1
2,2,1990,3,RTTP,38,25,1991,1,1
2,2,1990,3,RTTP,38,25,1991,2,1
2,2,1990,3,RTTP,38,28,1990,3,2
2,2,1990,3,RTTP,40,13,1990,3,5
2,2,1990,3,RTTP,40,13,1990,4,1
2,2,1990,3,RTTP,40,13,1991,2,1
2,2,1990,3,RTTP,40,24,1990,3,2
2,2,1990,3,RTTP,40,24,1991,2,1
2,2,1990,3,RTTP,40,28,1990,3,2
2,2,1990,3,RTTP,42,13,1990,3,3
2,2,1990,3,RTTP,42,13,1990,4,1
2,2,1990,3,RTTP,42,13,1991,1,1
2,2,1990,3,RTTP,42,13,1991,3,1
2,2,1990,3,RTTP,42,17,1990,3,2
2,2,1990,3,RTTP,42,24,1990,3,3
2,2,1990,3,RTTP,42,24,1990,4,1
2,2,1990,3,RTTP,42,25,1990,4,1
2,2,1990,3,RTTP,42,25,1991,1,2
2,2,1990,3,RTTP,42,25,1991,2,1
2,2,1990,3,RTTP,42,25,1991,3,1
2,2,1990,3,RTTP,42,28,1990,3,1
2,2,1990,3,RTTP,44,13,1990,3,6
2,2,1990,3,RTTP,44,13,1990,4,2
2,2,1990,3,RTTP,44,13,1991,1,1
2,2,1990,3,RTTP,44,13,1991,2,1
2,2,1990,3,RTTP,44,13,1991,3,1
2,2,1990,3,RTTP,44,13,1991,4,1
