year,season,area,index
2017,3,1,7.52083318071639
2017,4,1,8.70070635052156
2018,1,1,8.316546431254
2018,2,1,5.51447964972509
2018,3,1,3.92116764315492
2018,4,1,6.41457491010126
2019,1,1,8.95884657463444
2019,2,1,6.30692609950514
2019,3,1,5.99675001979397
2019,4,1,5.9917195943441
2020,1,1,3.95298471825834
2020,2,1,3.25398710948575
2020,3,1,5.19167445670736
2020,4,1,6.45781088789861
2021,1,1,8.32996100155445
2021,2,1,3.90114752238127
2021,3,1,5.37545255816944
2021,4,1,5.29330146951522
1952,1,2,14.689834430629
1952,2,2,13.8232816394691
1952,3,2,15.7091151246022
1952,4,2,22.8149422105187
1953,1,2,15.3132162459028
1953,2,2,19.8187172330042
1953,3,2,15.0041457247672
1953,4,2,17.9235271163034
1954,1,2,18.3880640623558
1954,2,2,18.1969612759762
1954,3,2,13.7968468397231
1954,4,2,16.9768713071769
1955,1,2,13.6256910260102
1955,2,2,15.4839275331055
1955,3,2,12.0652840659905
1955,4,2,17.035181103251
1956,1,2,12.9755172924405
1956,2,2,16.2634614283334
1956,3,2,13.2722864796896
1956,4,2,19.2021117389245
1957,1,2,17.7319764706566
1957,2,2,22.8009016589354
1957,3,2,19.2635408670098
1957,4,2,20.3874802956961
1958,1,2,15.8592048718711
1958,2,2,17.5233871496883
1958,3,2,17.5014926370911
1958,4,2,18.9312794461406
1959,1,2,12.7038737685536
1959,2,2,19.2443795232484
1959,3,2,26.5888073015263
1959,4,2,22.584981034728
1960,1,2,17.9337843538277
1960,2,2,23.9040208207836
1960,3,2,15.2671342818897
1960,4,2,21.1267201320843
1961,1,2,13.1337958147629
1961,2,2,19.9823560302236
1961,3,2,15.7053123154839
1961,4,2,17.3925279540277
1962,1,2,14.2995790237172
1962,2,2,13.8872689602101
1962,3,2,14.5925618638881
1962,4,2,16.3806383478453
1963,1,2,12.5325186461975
1963,2,2,11.6287062868955
1963,3,2,14.3448216174289
1963,4,2,18.1427872863277
1964,1,2,13.6528817358775
1964,2,2,17.0749639512737
1964,3,2,13.2447476816514
1964,4,2,13.065746395188
1965,1,2,12.308355826634
1965,2,2,13.9702493172297
1965,3,2,13.8113888636366
1965,4,2,18.4411570369577
1966,1,2,15.3403478448891
1966,2,2,13.4922995509791
1966,3,2,16.9661052192638
1966,4,2,14.7892041174539
1967,1,2,11.4529897772254
1967,2,2,8.72137049560925
1967,3,2,11.9988721454573
1967,4,2,13.5152622271272
1968,1,2,12.7457365801768
1968,2,2,12.6861630155801
1968,3,2,9.57413895821596
1968,4,2,10.221500345706
1969,1,2,8.94825931428645
1969,2,2,9.38759675079721
1969,3,2,11.4028584627607
1969,4,2,12.4737194185452
1970,1,2,10.1951285130575
1970,2,2,11.0652881984989
1970,3,2,8.78946356314087
1970,4,2,10.2445355451577
1971,1,2,10.2602408120486
1971,2,2,9.5256160989395
1971,3,2,8.72395008662494
1971,4,2,10.9904930902878
1972,1,2,9.39257960439389
1972,2,2,9.07806939132641
1972,3,2,11.7450231426255
1972,4,2,13.7045667619043
1973,1,2,9.69989980964289
1973,2,2,10.5626222372199
1973,3,2,10.2539128816624
1973,4,2,11.2435978181758
1974,1,2,10.5253667788968
1974,2,2,8.94803341815564
1974,3,2,8.80406321574844
1974,4,2,12.7072828653648
1975,1,2,9.59802048977801
1975,2,2,15.5783256021282
1975,3,2,10.9435301807506
1975,4,2,11.4604085634877
1976,1,2,8.33808263265888
1976,2,2,12.0511023162712
1976,3,2,12.3911798331676
1976,4,2,11.4711839067979
1977,1,2,8.66887803713851
1977,2,2,9.78496554489138
1977,3,2,9.11786337554311
1977,4,2,7.54703577745134
1978,1,2,11.7641249161312
1978,2,2,14.4579565696114
1978,3,2,9.49381866387138
1978,4,2,10.2100326330017
1979,1,2,7.886248098407
1979,2,2,8.93419468417632
1979,3,2,10.1780178473869
1979,4,2,11.4424773285806
1980,1,2,10.1872655999476
1980,2,2,11.4532179031198
1980,3,2,8.59600601067564
1980,4,2,13.1151510072571
1981,1,2,7.50157478431939
1981,2,2,7.3336871637024
1981,3,2,7.72491553868069
1981,4,2,7.88736514815793
1982,1,2,5.72157006914053
1982,2,2,6.63500397158582
1982,3,2,6.77138802221554
1982,4,2,7.01481838963828
1983,1,2,6.58028857080018
1983,2,2,5.12467890962765
1983,3,2,5.93742728776626
1983,4,2,10.4276956591759
1984,1,2,6.96255445324656
1984,2,2,5.96115743469393
1984,3,2,6.2213802147707
1984,4,2,6.17035528077947
1985,1,2,6.10526021513522
1985,2,2,8.81980986688384
1985,3,2,5.74794142804823
1985,4,2,7.25712226229304
1986,1,2,6.24657881776818
1986,2,2,6.53650244830531
1986,3,2,7.65501106677189
1986,4,2,7.79413009978297
1987,1,2,6.78791632632189
1987,2,2,5.86738113808148
1987,3,2,7.83056438864471
1987,4,2,5.85607924714609
1988,1,2,4.05938896047647
1988,2,2,4.23445314444676
1988,3,2,6.19553879486693
1988,4,2,6.1666434959273
1989,1,2,4.66335395016812
1989,2,2,5.19373861752693
1989,3,2,6.37793289380574
1989,4,2,5.36505176435539
1990,1,2,7.76079600708176
1990,2,2,9.044520690573
1990,3,2,7.43320946195886
1990,4,2,5.21957649081147
1991,1,2,4.9659470237961
1991,2,2,5.25813223234396
1991,3,2,4.98628748045188
1991,4,2,5.52847314321099
1992,1,2,4.02409837743861
1992,2,2,5.92361223510114
1992,3,2,7.44060244532201
1992,4,2,4.07072068102358
1993,1,2,3.30324159741929
1993,2,2,5.06190895716125
1993,3,2,6.57816780900618
1993,4,2,8.20006359178839
1994,1,2,6.84147749666344
1994,2,2,5.306055475683
1994,3,2,6.81994649603637
1994,4,2,6.52480625732943
1995,1,2,4.66749983459871
1995,2,2,6.55394134619593
1995,3,2,6.05305998629844
1995,4,2,3.70579492059075
1996,1,2,3.4432708722572
1996,2,2,4.77058467736257
1996,3,2,7.01608255577407
1996,4,2,4.01649289030458
1997,1,2,3.86040231497407
1997,2,2,4.78110996355019
1997,3,2,6.34114534068879
1997,4,2,4.91037949213527
1998,1,2,3.75747136502379
1998,2,2,4.1427951205745
1998,3,2,5.5509986323136
1998,4,2,4.37384136132579
1999,1,2,3.2412095593627
1999,2,2,5.18509565685051
1999,3,2,5.04417302180224
1999,4,2,6.42321209565171
2000,1,2,5.70406163461773
2000,2,2,6.17592679260877
2000,3,2,9.83628957824873
2000,4,2,6.33393987507102
2001,1,2,5.29021254754145
2001,2,2,7.55271469452303
2001,3,2,6.47033792935316
2001,4,2,4.95244039291554
2002,1,2,4.84625757507307
2002,2,2,5.19052883512018
2002,3,2,4.81540744536676
2002,4,2,4.25408270588589
2003,1,2,4.98715295704227
2003,2,2,7.08779308555496
2003,3,2,5.82474487992095
2003,4,2,3.78636408383491
2004,1,2,4.01668456925216
2004,2,2,5.73695318284802
2004,3,2,6.30336350919435
2004,4,2,5.15001593982832
2005,1,2,3.29965401581992
2005,2,2,3.97594032161181
2005,3,2,4.19511567711741
2005,4,2,3.63967322151186
2006,1,2,3.9260565889403
2006,2,2,5.45271040012998
2006,3,2,5.04666037969428
2006,4,2,3.23442990239067
2007,1,2,3.61668434364314
2007,2,2,4.6648766440049
2007,3,2,5.57355364506942
2007,4,2,4.85328684943182
2008,1,2,3.66536771694656
2008,2,2,5.71186024878667
2008,3,2,7.60793705656115
2008,4,2,4.19472194839536
2009,1,2,4.51756310100411
2009,2,2,6.17685925650309
2009,3,2,4.26360453475844
2009,4,2,4.79565753137326
2010,1,2,3.85541401415206
2010,2,2,4.97800036511501
2010,3,2,4.31007386137054
2010,4,2,3.18985184656382
2011,1,2,3.55544102827499
2011,2,2,5.09299856409804
2011,3,2,4.46431529663468
2011,4,2,2.78973572922746
2012,1,2,3.4075365578417
2012,2,2,3.0932505744184
2012,3,2,3.43851210405278
2012,4,2,2.84038347203119
2013,1,2,3.06878365458408
2013,2,2,4.42990191114721
2013,3,2,2.77973139176615
2013,4,2,2.36034832943266
2014,1,2,2.74129079213155
2014,2,2,3.39392984416865
2014,3,2,4.64229281593468
2014,4,2,3.52685358876605
2015,1,2,3.26156338335487
2015,2,2,2.82931752585281
2015,3,2,3.29927221860897
2015,4,2,3.56644768800968
2016,1,2,3.73602915427789
2016,2,2,4.83966205173274
2016,3,2,5.75617111347805
2016,4,2,5.51435527667119
2017,1,2,5.24351252647419
2017,2,2,5.67755955954412
2017,3,2,5.45116135731072
2017,4,2,6.36569110988896
2018,1,2,4.8730648559159
2018,2,2,5.10507521622057
2018,3,2,6.38258995181985
2018,4,2,5.4918493045627
2019,1,2,5.91751918618583
2019,2,2,5.95856117949044
2019,3,2,7.98728093712226
2019,4,2,6.18605998730331
2020,1,2,3.75668601144606
2020,2,2,3.45619076395626
2020,3,2,3.87151106648418
2020,4,2,3.22116326422163
2021,1,2,5.43404568974403
2021,2,2,3.99401639032765
2021,3,2,3.47159929954715
2021,4,2,3.93082469306121
1952,1,3,5.41812468147663
1952,2,3,5.83408246194415
1952,3,3,7.20257287982159
1952,4,3,7.48191522357787
1953,1,3,6.60324396638173
1953,2,3,6.3568197880361
1953,3,3,5.34746144708772
1953,4,3,5.92607051919032
1954,1,3,5.60178512804894
1954,2,3,3.68330693419378
1954,3,3,5.7162547901072
1954,4,3,5.32893325523182
1955,1,3,4.24977835175602
1955,2,3,5.49943796649235
1955,3,3,3.83680955138418
1955,4,3,5.5021623619502
1956,1,3,4.78470880727001
1956,2,3,4.96443280071368
1956,3,3,5.06845488291043
1956,4,3,7.1453390712173
1957,1,3,6.75245478851553
1957,2,3,7.84175818618881
1957,3,3,6.00944715397467
1957,4,3,7.06317102412875
1958,1,3,5.05705175186241
1958,2,3,7.73839597593264
1958,3,3,4.41416394530696
1958,4,3,3.11746495851595
1959,1,3,3.21658951235372
1959,2,3,3.17366335499163
1959,3,3,5.00755051780406
1959,4,3,4.92797399222923
1960,1,3,5.25588299248933
1960,2,3,7.27983613281411
1960,3,3,4.92100990902029
1960,4,3,4.87936862529084
1961,1,3,4.39980610304195
1961,2,3,5.91470954502159
1961,3,3,4.92123593423041
1961,4,3,4.49646279966701
1962,1,3,3.34298060623067
1962,2,3,3.98795371166141
1962,3,3,3.57641380840659
1962,4,3,5.32817074216802
1963,1,3,4.72251319188062
1963,2,3,4.07343051281152
1963,3,3,4.95359662687597
1963,4,3,4.40524067588585
1964,1,3,3.89676997554631
1964,2,3,3.49938970541352
1964,3,3,3.67761097499614
1964,4,3,3.50308639184262
1965,1,3,3.73683176900187
1965,2,3,4.51958160047691
1965,3,3,4.98244324056165
1965,4,3,4.17289307999554
1966,1,3,4.76860006049185
1966,2,3,5.61964019275322
1966,3,3,3.73183431449217
1966,4,3,2.80357584070134
1967,1,3,2.71566535787247
1967,2,3,2.99770561559032
1967,3,3,3.37127706881333
1967,4,3,3.03767303861838
1968,1,3,2.69124597281588
1968,2,3,2.88341041959605
1968,3,3,3.85042761006949
1968,4,3,3.2525492505477
1969,1,3,2.85380942102288
1969,2,3,4.27455586927941
1969,3,3,3.67772879496092
1969,4,3,4.116320443269
1970,1,3,2.67620552352777
1970,2,3,4.10697427912087
1970,3,3,2.30781718081688
1970,4,3,3.91475446385734
1971,1,3,4.00221642186932
1971,2,3,4.11109880987406
1971,3,3,4.01887335223644
1971,4,3,5.31416769537698
1972,1,3,2.58503286680569
1972,2,3,3.1787670297986
1972,3,3,2.56746874576546
1972,4,3,3.07502012379564
1973,1,3,3.44514306597003
1973,2,3,5.82210826646053
1973,3,3,3.83444252410818
1973,4,3,3.25353283554519
1974,1,3,2.73043214935763
1974,2,3,3.67339050481355
1974,3,3,3.78001381734125
1974,4,3,3.77293296983721
1975,1,3,2.91435692619083
1975,2,3,2.54186469463538
1975,3,3,3.38096945833855
1975,4,3,2.1271564082595
1976,1,3,3.06751967215338
1976,2,3,1.97976148644585
1976,3,3,2.45627286643254
1976,4,3,2.97669404196245
1977,1,3,2.68375907251885
1977,2,3,3.01564582974589
1977,3,3,3.07820419938449
1977,4,3,4.16826219848333
1978,1,3,5.0858203847145
1978,2,3,6.6958893863343
1978,3,3,5.66890015220096
1978,4,3,3.37252722992869
1979,1,3,2.91794868898134
1979,2,3,3.1902762575295
1979,3,3,2.14313266817929
1979,4,3,3.38087911756331
1980,1,3,3.85268427295463
1980,2,3,3.38459493012152
1980,3,3,3.3416489979002
1980,4,3,2.73198887039132
1981,1,3,2.50793371044926
1981,2,3,2.56952991866593
1981,3,3,2.91764996144426
1981,4,3,2.25242205056906
1982,1,3,2.26502472312252
1982,2,3,2.69781024109339
1982,3,3,2.99716671834265
1982,4,3,2.50216910246897
1983,1,3,3.36756443941924
1983,2,3,3.34041475668672
1983,3,3,4.42699330137676
1983,4,3,3.87410402784264
1984,1,3,4.45258036430574
1984,2,3,2.82368667158212
1984,3,3,2.48519495928053
1984,4,3,2.25699106144675
1985,1,3,3.39130195692986
1985,2,3,3.91761187251842
1985,3,3,4.04234302079738
1985,4,3,3.2038008798525
1986,1,3,2.24755350493235
1986,2,3,2.12390039877556
1986,3,3,2.41138742453723
1986,4,3,2.80622482362989
1987,1,3,2.15596450485944
1987,2,3,2.98063012142214
1987,3,3,3.24875374314376
1987,4,3,3.86650678430245
1988,1,3,2.20245569598004
1988,2,3,3.21334866407207
1988,3,3,2.79529456203273
1988,4,3,4.97519443197227
1989,1,3,3.12279136660501
1989,2,3,2.26779477324207
1989,3,3,2.10961914538233
1989,4,3,2.46510078484635
1990,1,3,2.34630917637375
1990,2,3,3.47588815826652
1990,3,3,2.6545716211862
1990,4,3,1.77154034400376
1991,1,3,1.9669128124603
1991,2,3,2.1739934312643
1991,3,3,1.82541393717011
1991,4,3,1.96410011334566
1992,1,3,1.53263380964909
1992,2,3,2.68940925098146
1992,3,3,2.80399900244772
1992,4,3,2.28395990234733
1993,1,3,2.60129245287231
1993,2,3,1.8474919306085
1993,3,3,1.52251157612455
1993,4,3,1.28012255374359
1994,1,3,2.20750979735267
1994,2,3,1.4304255837942
1994,3,3,1.94446978948759
1994,4,3,1.76597283690828
1995,1,3,1.63222461980759
1995,2,3,3.01298921120793
1995,3,3,1.72659621537079
1995,4,3,1.98762667378925
1996,1,3,1.57386444896851
1996,2,3,2.0155280337949
1996,3,3,2.11714104009808
1996,4,3,2.31730974148281
1997,1,3,1.94829162145921
1997,2,3,2.40795234088955
1997,3,3,2.26696393169844
1997,4,3,1.75098354449751
1998,1,3,2.02925624700875
1998,2,3,2.07306665029357
1998,3,3,1.79778810193534
1998,4,3,1.13927648650793
1999,1,3,0.707859896303755
1999,2,3,1.12987830294555
1999,3,3,1.4058434075846
1999,4,3,1.44430525202301
2000,1,3,1.48734734948833
2000,2,3,1.43359001460721
2000,3,3,2.31011165037193
2000,4,3,1.3260579587499
2001,1,3,1.02006834074713
2001,2,3,1.79721294720559
2001,3,3,1.6322085325369
2001,4,3,1.83574376203126
2002,1,3,2.00499327310323
2002,2,3,1.91509747241729
2002,3,3,1.76831872809348
2002,4,3,2.2396277344117
2003,1,3,1.71190721626368
2003,2,3,1.96063304835692
2003,3,3,1.91032777765369
2003,4,3,1.3987945240031
2004,1,3,1.93351994453616
2004,2,3,2.59565197772669
2004,3,3,2.08631163683406
2004,4,3,1.91797764122427
2005,1,3,1.76508725884783
2005,2,3,1.31624878044325
2005,3,3,1.99434749734196
2005,4,3,1.52114161314778
2006,1,3,2.35130095386671
2006,2,3,2.52157486106871
2006,3,3,1.5329076410125
2006,4,3,2.21023885217018
2007,1,3,1.45112755995922
2007,2,3,2.57088536872076
2007,3,3,1.42033141415277
2007,4,3,1.63600599284917
2008,1,3,1.97326056038003
2008,2,3,2.6556005921197
2008,3,3,2.70498075171761
2008,4,3,1.68442715307614
2009,1,3,2.09292645531892
2009,2,3,3.39017978427921
2009,3,3,2.85852955510387
2009,4,3,1.57990641511966
2010,1,3,1.61159120005666
2010,2,3,1.68686620060799
2010,3,3,2.24497301546733
2010,4,3,1.68888528306787
2011,1,3,2.3965385593956
2011,2,3,2.18784188339229
2011,3,3,1.98888413452087
2011,4,3,1.57857236941549
2012,1,3,1.75280610029539
2012,2,3,2.82633861691969
2012,3,3,2.32670447804663
2012,4,3,1.92821603483476
2013,1,3,1.5519942412395
2013,2,3,1.5474420902116
2013,3,3,1.3639048323552
2013,4,3,1.67488179796533
2014,1,3,1.75001142745559
2014,2,3,1.60544955240327
2014,3,3,1.88759310361947
2014,4,3,2.05621013385836
2015,1,3,1.50897501250413
2015,2,3,2.35058780028281
2015,3,3,1.78636283080559
2015,4,3,3.01209380866083
2016,1,3,1.49718926934413
2016,2,3,1.68596970089316
2016,3,3,2.17630686597627
2016,4,3,1.60257649903246
2017,1,3,2.01264632429726
2017,2,3,2.70934940099262
2017,3,3,1.92874457014415
2017,4,3,1.40012521792699
2018,1,3,1.90801698139315
2018,2,3,3.8691772376871
2018,3,3,2.45830910122659
2018,4,3,1.60836082932736
2019,1,3,2.15980611639984
2019,2,3,3.11962334822292
2019,3,3,1.91939903266624
2019,4,3,2.5934437296475
2020,1,3,0.982895155511788
2020,2,3,2.65408202446803
2020,3,3,2.46621092239624
2020,4,3,1.74983833584653
2021,1,3,2.06060661751889
2021,2,3,3.05672099472111
2021,3,3,2.23680861613579
2021,4,3,2.24782512695085
1952,1,4,15.8608936771974
1952,2,4,35.9762851267197
1952,3,4,31.6613139198198
1952,4,4,34.8384202150494
1953,1,4,24.6115702617332
1953,2,4,38.7852166887646
1953,3,4,26.7830927220543
1953,4,4,27.9169917426736
1954,1,4,22.4966310711597
1954,2,4,28.6937968331569
1954,3,4,26.4846682616313
1954,4,4,19.4873526689314
1955,1,4,28.0152291404544
1955,2,4,31.9419423513431
1955,3,4,25.9422321766341
1955,4,4,24.0329564248348
1956,1,4,28.8606739790684
1956,2,4,31.378743561273
1956,3,4,30.1500765177841
1956,4,4,33.6727099678011
1957,1,4,28.3172520470852
1957,2,4,34.6839924718831
1957,3,4,29.8771702724953
1957,4,4,26.8390603489907
1958,1,4,22.2689261081426
1958,2,4,36.3654921448415
1958,3,4,29.4044392415199
1958,4,4,24.0405559616753
1959,1,4,22.1552719608807
1959,2,4,27.2466038840182
1959,3,4,29.2794614035793
1959,4,4,28.7519787079406
1960,1,4,30.680931610357
1960,2,4,40.2092684701061
1960,3,4,31.5028858248762
1960,4,4,21.5206958555437
1961,1,4,25.2375276357111
1961,2,4,31.0645874538802
1961,3,4,25.7316017208306
1961,4,4,18.8852615313411
1962,1,4,16.465919401882
1962,2,4,22.810524288883
1962,3,4,23.9222717958421
1962,4,4,21.8355431692567
1963,1,4,15.4849561568741
1963,2,4,23.2969328204243
1963,3,4,20.8805999617758
1963,4,4,19.6476705442404
1964,1,4,18.7009348631598
1964,2,4,25.8765746134619
1964,3,4,23.5067528319585
1964,4,4,18.3733151342146
1965,1,4,18.6672071109569
1965,2,4,22.6857589974303
1965,3,4,23.4259953709503
1965,4,4,17.1320742988309
1966,1,4,21.9321737128931
1966,2,4,29.5769225779393
1966,3,4,22.1628859467693
1966,4,4,18.2703473875588
1967,1,4,16.1652268486867
1967,2,4,19.2920946333152
1967,3,4,17.677226213839
1967,4,4,18.4431908384913
1968,1,4,18.9989744993715
1968,2,4,24.6186227329075
1968,3,4,22.013583826395
1968,4,4,21.4382749032803
1969,1,4,17.3967140923278
1969,2,4,25.3999464766855
1969,3,4,20.7306964924267
1969,4,4,23.1929614544426
1970,1,4,24.2330968029564
1970,2,4,23.9086104610965
1970,3,4,17.5416598137394
1970,4,4,16.7252856587216
1971,1,4,24.3246212808421
1971,2,4,25.3657962127934
1971,3,4,24.8759056904502
1971,4,4,26.1421942560069
1972,1,4,25.7821118286204
1972,2,4,23.0617714833159
1972,3,4,16.9993149390535
1972,4,4,15.1494317893357
1973,1,4,12.943306543825
1973,2,4,14.3620245533631
1973,3,4,18.3015954245927
1973,4,4,17.1683804013285
1974,1,4,12.1695884920375
1974,2,4,13.5260891355009
1974,3,4,13.5503542706167
1974,4,4,13.6911130647941
1975,1,4,11.9860480339086
