year,season,area,index
1952,1,1,6.40914664674523
1952,2,1,4.05485826013851
1952,3,1,7.84437265658664
1952,4,1,9.15820866470375
1953,1,1,6.86716052834974
1953,2,1,10.0386178821476
1953,3,1,8.05052414118882
1953,4,1,8.45576417970997
1954,1,1,5.57900043516366
1954,2,1,9.16572505102112
1954,3,1,7.03354960003447
1954,4,1,7.2649005871473
1955,1,1,5.2471302217995
1955,2,1,5.91378878189721
1955,3,1,6.25142983861456
1955,4,1,8.28439992431933
1956,1,1,5.97483450353133
1956,2,1,5.48138971318807
1956,3,1,7.31191879515795
1956,4,1,5.9166364126767
1957,1,1,5.3841707085227
1957,2,1,8.57964148892516
1957,3,1,12.1479394581514
1957,4,1,6.1594077286991
1958,1,1,4.12401970190076
1958,2,1,7.07236596733475
1958,3,1,8.52776771260366
1958,4,1,11.0679012687838
1959,1,1,12.2269810923534
1959,2,1,12.0032160581669
1959,3,1,14.1092945999881
1959,4,1,11.7013470933751
1960,1,1,9.19259477584198
1960,2,1,8.0449578754097
1960,3,1,12.885055811235
1960,4,1,8.34203903524219
1961,1,1,7.0262015064056
1961,2,1,8.37760453805239
1961,3,1,6.4790205982011
1961,4,1,7.93120477270588
1962,1,1,9.31113471805418
1962,2,1,5.32382160268659
1962,3,1,7.22847964377987
1962,4,1,7.86674476674357
1963,1,1,5.08176663890348
1963,2,1,3.88605337999329
1963,3,1,5.32383346566776
1963,4,1,7.52556826452603
1964,1,1,5.46905051406362
1964,2,1,5.62545169393966
1964,3,1,8.17687457668772
1964,4,1,9.41909077457806
1965,1,1,8.03370337401208
1965,2,1,4.46792746830293
1965,3,1,7.9239009906588
1965,4,1,8.42722145623685
1966,1,1,9.43001932403614
1966,2,1,8.18488643258531
1966,3,1,9.05526070943801
1966,4,1,7.81481258523442
1967,1,1,5.18892006533322
1967,2,1,4.51233773091854
1967,3,1,6.80814551253993
1967,4,1,5.91483486232541
1968,1,1,5.04879320213585
1968,2,1,4.92920164988594
1968,3,1,4.07447955825528
1968,4,1,4.33579564295299
1969,1,1,5.58058440137048
1969,2,1,4.39405107212645
1969,3,1,8.20866683122427
1969,4,1,6.73041026371911
1970,1,1,8.65130092160243
1970,2,1,9.82047498617542
1970,3,1,7.99851834109908
1970,4,1,9.85090153063298
1971,1,1,7.01443361795873
1971,2,1,5.15169871346236
1971,3,1,5.39855226285307
1971,4,1,5.99270806948502
1972,1,1,4.68172822325421
1972,2,1,4.66044363343555
1972,3,1,8.08411152440047
1972,4,1,5.61869689414021
1973,1,1,3.24288095932199
1973,2,1,4.39615791846651
1973,3,1,5.04270277322983
1973,4,1,7.13382611564622
1974,1,1,7.15081214317931
1974,2,1,4.89751311889441
1974,3,1,5.78390855178986
1974,4,1,6.77418044976488
1975,1,1,5.43631322453301
1975,2,1,5.96510512535964
1975,3,1,6.63013462419539
1975,4,1,6.09712750058923
1976,1,1,6.28238782632404
1976,2,1,4.81272031617328
1976,3,1,6.00257958195031
1976,4,1,7.34460990222566
1977,1,1,6.24066235830376
1977,2,1,5.62549925094437
1977,3,1,7.33498909866732
1977,4,1,6.5056018374414
1978,1,1,7.70271743380134
1978,2,1,7.71700469674067
1978,3,1,10.5327582772413
1978,4,1,10.1889906292365
1979,1,1,8.42944480961792
1979,2,1,7.20837356049141
1979,3,1,6.96759515157555
1979,4,1,8.85235307044095
1980,1,1,8.52456226999926
1980,2,1,8.93807067883804
1980,3,1,9.65776511610582
1980,4,1,7.9120728710038
1981,1,1,5.94927765521022
1981,2,1,5.88177836159057
1981,3,1,8.11193872933091
1981,4,1,5.00924139436375
1982,1,1,6.00753246835977
1982,2,1,4.90575168361663
1982,3,1,6.35522338753238
1982,4,1,8.72574385132998
1983,1,1,6.30418581961253
1983,2,1,6.93757305631652
1983,3,1,7.78765864401737
1983,4,1,9.27676544348993
1984,1,1,7.54822904798653
1984,2,1,4.93385347805568
1984,3,1,4.18048653173181
1984,4,1,6.36264487640443
1985,1,1,5.29087087247754
1985,2,1,4.04834542884746
1985,3,1,4.30925936108836
1985,4,1,6.73167614501248
1986,1,1,9.1352106335065
1986,2,1,7.05359212029111
1986,3,1,6.73256496979761
1986,4,1,8.29236066039992
1987,1,1,6.10909235678734
1987,2,1,7.41162961145717
1987,3,1,5.86365734893201
1987,4,1,5.603992715357
1988,1,1,6.27362721457854
1988,2,1,5.22864648322273
1988,3,1,6.60756111032709
1988,4,1,7.4598026345172
1989,1,1,7.9517152541308
1989,2,1,7.76821948597482
1989,3,1,7.66742080218901
1989,4,1,6.15213646668148
1990,1,1,4.88418733718233
1990,2,1,6.30642204241007
1990,3,1,6.50056073781534
1990,4,1,7.98087686450936
1991,1,1,8.1240537593539
1991,2,1,7.76669131456972
1991,3,1,6.37813523500403
1991,4,1,5.52682487217968
1992,1,1,4.80122236767953
1992,2,1,5.35913563864844
1992,3,1,7.00226353924235
1992,4,1,8.66855608915345
1993,1,1,6.70199207660053
1993,2,1,7.93100645041944
1993,3,1,8.63447067202842
1993,4,1,9.58889205040325
1994,1,1,8.12010503955901
1994,2,1,4.46307400793725
1994,3,1,5.8289264397697
1994,4,1,7.60746818807203
1995,1,1,9.58309313178174
1995,2,1,7.43057926779788
1995,3,1,6.73634495158348
1995,4,1,5.25015092140627
1996,1,1,4.64456092509863
1996,2,1,5.64147114621066
1996,3,1,8.8269489384796
1996,4,1,6.61345400404633
1997,1,1,6.5264478246824
1997,2,1,5.61949688496661
1997,3,1,8.26925494897709
1997,4,1,5.85351784731358
1998,1,1,6.32319365163571
1998,2,1,7.09076823530531
1998,3,1,8.16524904371383
1998,4,1,8.54361297393998
1999,1,1,4.94489869904292
1999,2,1,3.94261708504736
1999,3,1,6.47663596334099
1999,4,1,8.4644172407613
2000,1,1,9.14894003361288
2000,2,1,5.82475326475444
2000,3,1,7.0419416806063
2000,4,1,5.83514486325153
2001,1,1,5.75562476361613
2001,2,1,6.65673008980591
2001,3,1,5.02387816822016
2001,4,1,3.89442211427184
2002,1,1,3.76373179647338
2002,2,1,4.36473436181926
2002,3,1,3.74522434113187
2002,4,1,4.04656060454207
2003,1,1,6.29149671551325
2003,2,1,5.81218121115641
2003,3,1,7.25453463658797
2003,4,1,4.20317849511379
2004,1,1,3.03693797732887
2004,2,1,5.31792248539387
2004,3,1,5.38149735875556
2004,4,1,4.10031272479419
2005,1,1,4.0298808914109
2005,2,1,4.16075120239604
2005,3,1,6.32001316134925
2005,4,1,3.52660058271706
2006,1,1,4.46994777729685
2006,2,1,5.39615048089273
2006,3,1,4.61480547379222
2006,4,1,2.71261675080252
2007,1,1,3.45300625233352
2007,2,1,4.11788848424634
2007,3,1,6.57729060628195
2007,4,1,4.3100196667773
2008,1,1,5.14857016126011
2008,2,1,3.99197594776091
2008,3,1,6.01595290546421
2008,4,1,4.62594948003081
2009,1,1,4.74197173994086
2009,2,1,2.41710117572295
2009,3,1,5.7643443328763
2009,4,1,4.22678314469804
2010,1,1,3.9533480886019
2010,2,1,5.25068237494856
2010,3,1,6.35092604760243
2010,4,1,3.97897390211234
2011,1,1,4.20493198968715
2011,2,1,3.47007949478965
2011,3,1,4.92465594281576
2011,4,1,3.83604107861251
2012,1,1,5.53045206927377
2012,2,1,2.56912993457928
2012,3,1,4.62287447354221
2012,4,1,3.30643318363474
2013,1,1,3.99531936786904
2013,2,1,4.73725440996663
2013,3,1,3.77268597961938
2013,4,1,3.40854588593395
2014,1,1,4.16314271970836
2014,2,1,3.65470067143501
2014,3,1,7.50546366781884
2014,4,1,4.56460623544473
2015,1,1,5.95172772076715
2015,2,1,4.66504971225404
2015,3,1,5.30504991032193
2015,4,1,4.71196243641694
2016,1,1,6.81463405855072
2016,2,1,5.84075705529806
2016,3,1,6.12455570737421
2016,4,1,7.46348825466523
2017,1,1,8.41868851750048
2017,2,1,5.21829810156899
