year,rec,catch,tb,sb,sbf0,dep,f
1952,2082, 27,11231,6993,7000,1.00,0.00
1953, 781, 36,11053,7027,7056,1.00,0.00
1954,3599, 36,11005,7009,7061,0.99,0.00
1955,2182, 33,11449,6783,6851,0.99,0.00
1956,2072, 33,11807,7022,7098,0.99,0.00
1957,2659, 54,11852,7366,7452,0.99,0.00
1958,1737, 62,12061,7478,7590,0.99,0.01
1959,1071, 64,11796,7421,7553,0.98,0.01
1960,1482, 73,10645,7533,7683,0.98,0.01
1961,1661, 79, 9763,6927,7090,0.98,0.01
1962,1749, 82, 9262,6021,6199,0.97,0.01
1963,2645, 70, 9036,5690,5870,0.97,0.01
1964, 954, 63, 9324,5567,5750,0.97,0.01
1965,1480, 63, 8982,5660,5838,0.97,0.01
1966,1197, 87, 8555,5783,5968,0.97,0.01
1967,1603, 55, 8210,5330,5520,0.97,0.01
1968, 953, 63, 7979,5112,5292,0.97,0.01
1969,2128, 69, 7938,4959,5135,0.97,0.01
1970, 963,102, 8133,4846,5027,0.96,0.01
1971,1167,103, 7833,4988,5187,0.96,0.01
1972,2221,111, 7430,4986,5229,0.95,0.01
1973, 551,132, 7417,4621,4916,0.94,0.02
1974,1516,132, 6936,4469,4830,0.93,0.02
1975,1551,137, 6723,4427,4845,0.91,0.02
1976,1824,154, 6991,4042,4495,0.90,0.02
1977, 978,191, 7325,4129,4644,0.89,0.03
1978,1351,197, 7127,4440,5030,0.88,0.03
1979,1333,233, 6810,4460,5133,0.87,0.03
1980,1504,236, 6482,4135,4859,0.85,0.04
1981,1236,241, 6394,3927,4687,0.84,0.04
1982,1384,251, 6401,3795,4574,0.83,0.04
1983,1311,304, 6453,3818,4657,0.82,0.05
1984,1968,301, 6278,3839,4782,0.80,0.05
1985,1323,317, 6478,3792,4821,0.79,0.05
1986,1849,304, 6701,3737,4850,0.77,0.05
1987,1265,343, 6883,3981,5180,0.77,0.05
1988,1377,337, 6807,4101,5383,0.76,0.05
1989,1475,399, 6392,4100,5460,0.75,0.06
1990,1204,451, 6015,3858,5310,0.73,0.07
1991,1226,482, 5552,3464,5013,0.69,0.09
1992,1291,480, 5186,3222,4920,0.65,0.09
1993,1534,436, 4966,2938,4732,0.62,0.09
1994,1253,464, 4946,2805,4678,0.60,0.09
1995,1242,471, 4856,2750,4666,0.59,0.10
1996,1215,458, 4825,2767,4716,0.59,0.09
1997,1231,498, 4583,2715,4693,0.58,0.11
1998,1428,564, 4382,2607,4743,0.55,0.13
1999,1293,496, 4370,2383,4553,0.52,0.11
2000,1278,533, 4319,2385,4636,0.51,0.12
2001,1465,536, 4265,2368,4748,0.50,0.13
2002,1251,527, 4306,2329,4766,0.49,0.12
2003,1415,605, 4198,2309,4799,0.48,0.14
2004,1268,627, 4138,2315,4891,0.47,0.15
2005,1530,569, 4065,2207,4837,0.46,0.14
2006,1639,549, 4153,2187,4944,0.44,0.13
2007,1432,578, 4417,2198,5011,0.44,0.13
2008,1262,644, 4530,2350,5194,0.45,0.14
2009,1206,571, 4372,2449,5387,0.45,0.13
2010,1291,584, 4158,2416,5354,0.45,0.14
2011,1289,549, 4013,2265,5138,0.44,0.14
2012,1552,650, 4040,2107,4899,0.43,0.16
2013,1617,606, 4213,2083,4821,0.43,0.14
2014,1398,656, 4370,2189,4977,0.44,0.15
2015,1467,622, 4447,2282,5233,0.44,0.14
2016,1433,677, 4483,2363,5360,0.44,0.15
2017,1785,719, 4413,2384,5393,0.44,0.16
2018,2006,707, 4523,2323,5379,0.43,0.16
2019,1324,705, 4745,2328,5485,0.42,0.15
2020,2033,736, 4814,2508,5795,0.43,0.15
2021,1506,752, 4875,2616,6045,0.43,0.15
